SN,Category,Group,Code,Activity Name ,Third Party,When,Risk Rating,Industry Risk,DNFBP,Notes,Description,Related Business Activities,Generated Keywords,,,,,
1377,Professional,,7110.88,Petroleum Refining Plants Engineering Services,Dubai Municipality (DM),PRE,Low,,,,"Includes providing engineering support and services to oil companies and refineries with regard to thermal dynamics and transmission, fluids mechanics, petroleum refining engineering, interaction process engineering, and oil refining industries including laboratories and stations construction and operation and production planning.",-,"petroleum engineering services, oil refining consulting, refinery engineering support, fluid mechanics services, thermal dynamics engineering, oil industry engineering, refinery design and planning, petroleum process engineering",,,,,
1378,Professional,,7110.9,Raw Materials Composition Engineering Services,,N/A,Low,,,,"Includes providing services and consultancies related to the substances or components of the raw materials which have certain physical properties that are used as inputs to production or manufacturing in order to ensure compliance with the relevant industry standards, the minimal qualifications required is bachelor degree in geological engineering, along with three years hands-on experience.",-,"raw materials engineering, composition engineering services, materials consultancy, material analysis services, engineering consulting for raw materials, quality compliance consulting, physical properties assessment, industrial materials engineering",,,,,
1379,Professional,,7110.91,Automobile Engineering Services,Dubai Municipality (DM),PRE,Low,,,,"Includes providing services and consultancies related to vehicle engineering which incorporates the elements of design, mechanical, electrical, safety, fuel economy, noise, vibration, and harshness, performance, the minimal qualifications required is bachelor degree in mechanical engineering, along with three years hands-on experience.",-,"automobile engineering services, vehicle engineering consultancy, car design services, automotive performance analysis, mechanical engineering for vehicles, vehicle safety consulting, automotive noise and vibration assessment, automotive engineering solutions",,,,,
1380,Professional,,7110.93,Fire Safety & Protection Engineering Services,Dubai Municipality (DM),PRE,Low,,,,"Includes applying engineering principles to protect property, people from the destructive effects of fire by focusing on fire detection, suppression and mitigation as well as preparing protective strategy and emergency and evacuation plan.",-,"fire safety engineering, fire protection services, fire risk assessment, fire suppression systems, emergency evacuation planning, fire detection systems, fire safety consulting, fire protection engineering",,,,,
1381,Professional,,7110.94,Radiation Consultant,,N/A,Low,,, ," Includes providing consultations on the use of radiation in workplace, also, enhancing the safety awareness for users of radiation in medical facilities for diagnosis and therapy, or for radioactive materials transporters, including calibrating the equipment monitoring radiation as per domestic and international standards.",-,"radiation consultant, radiation safety advisor, radiation management, radiation risk assessment, workplace radiation consultation, medical radiation safety, radioactive materials consulting, radiation compliance expert",,,,,
1382,Professional,,7110.95,Green Buildings Consultant,,N/A,Low,,,,"   Includes offering counseling and technical assistance on environmentally-sustainable building and community design, building science, and energy efficiency, including all the services enable the efficient use of energy, water and other resources, which will have impact national health and global environment.",-,"green building consultant, sustainable architecture, eco-friendly construction advisor, energy efficiency consulting, environmental design services, green building expert, sustainable development consultant, building sustainability advisor",,,,,
1383,Professional,,7110.96,District Cooling Plants Engineering,Dubai Municipality (DM),PRE,Low,,,,"Includes providing consultancies and services related district cooling plants the distribution networks, it includes preparing preliminary engineering, technical and economic feasibility studies as well as the environmental impact, also, preparing the electromechanical designs, supervision of execution and operation.",-,"district cooling engineering, cooling plant consultancy, district cooling systems design, feasibility studies for cooling plants, environmental impact assessment cooling, electromechanical design services, cooling network supervision, district cooling project management",,,,,
1384,Professional,,7110.97,Aviation Mechanical Power Engineering Services,Dubai Civil Aviation Authority (DCAA),PRE,Low,,,,,-,"aviation engineering services, aircraft mechanical services, aviation power engineering, aerospace engineering, aircraft maintenance solutions, mechanical power solutions for aviation, aviation technical services, aircraft engineering consultancy",,,,,
1385,Professional,,7110.98,Aviation Projects Engineering Management &Technical Feasibility Studies Services,,N/A,Low,,,,"Includes firms which work out primary technical and economic studies for aviation projects, involving preparation of tender documents, prequalification of consultants and contractors, assessment of financial offers and follow up of execution on the technical and engineering levels.",-,"aviation, enginnering, management, technical, project, study",,,,,
1386,Professional,,7110.99,Real Estate Survey Services,Dubai Real Estate Regulatory Agency (RERA),PRE,High,Yes,,"The activity cannot be combined with other activities, only with RERA activities Group No.3","Includes firms engaged in surveying  buildings and dwellings as regarding number of floors and joint spaces, this process involves lands, 
buildings and units, vertical and dimensional surveying, joint spaces in buildings lands surveying, preparation of maps and sketches of real estate units",-,"Land survey, Real estate",,,,,
1387,Professional,712,7120,Technical Testing And Analysis,,N/A,Low,,,,,-,"technical testing, product testing, quality analysis, lab testing, material testing, inspection, engineering testing",,,,,
1388,Professional,,7120.01,"Performance Of Physical, Chemical And Other Analytical Testing Of All Types Of Materials
And Products",Dubai Police (DP),PRE,Low,,,,,-,"analytical testing, material testing, chemical analysis, physical testing, product testing services, laboratory testing, quality control testing, testing services",,,,,
1389,Professional,,7120.72,Storage Environments Temperature Verification Services,,,Low,,,,"Includes firms providing temperature calibration, validation and monitoring solutions for a wide range of storage and transportation environments across the manufacturing, research, distribution & storage sectors to demonstrate that products are being stored in a suitable environment through reporting of the mapping process, it involves verifying that the materials stored are of the same nature. ",-,"temperature verification services, temperature calibration, environmental monitoring, storage temperature validation, temperature mapping, cold chain verification, climate control assessment, temperature compliance services",,,,,
1390,Professional,,7120.73,Agricultural Laboratory,,N/A,Low,,,,"Includes specialized firms conducting research and chemical and biological lab analysis for development of agriculture, involving, control plant disease, irrigation water testing, tissue culture, plant survival in salt water, flower germination, mortality of plants and plant production through convention methods.  ",-,"agricultural laboratory, plant research, soil testing, irrigation water analysis, tissue culture services, crop disease control, agricultural analysis, plant production testing",,,,,
1391,Professional,,7120.74,Roofs & Scaffolding Support Systems Examination,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes firms that provide inspection services to roofs and scaffolding support system, whether external or internal, including reviewing and approving the designs and drawings of construction according to the uses and purposes to be allocated to them, the role of such firms is limited to carrying out these services and to give certificates or reports.",-,"roof inspection, scaffolding inspection, roof examination services, scaffolding support review, construction design approval, structural integrity assessment, building safety inspection, roof and scaffold certification",,,,,
1392,Professional,,7120.75,Building Inspection Services,,N/A,Low,,,,,-,"building inspection, property inspection, home inspection services, building assessment, structural inspection, residential inspection, commercial property inspection, inspection services",,,,,
1393,Professional,,7120.76,Diamond & Precious Gemstones Testing Laboratory,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes firms which undertake chemical and physical testing for gemstones and diamond to determine their key characteristics, color, clarity, cut and carat weight, as well as providing identification and appraisal reports.",-,"gemstone testing, diamond testing, precious stone appraisal, gem identification, gemstone analysis, diamond certification, gem laboratory services, jewelry evaluation",,,,,
1394,Professional,,7120.77,Environmental Testing & Inspection Services,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes firms providing environmental testing and inspections in different sites and locations, it involves sampling and laboratory testing, as well as inspecting the environment elements, such as air, water, soil, sediments,  wastes, fumes and vapor emission, pollutions, noise level, industrial hygiene …etc. ",-,"environmental testing, environmental inspection, air quality testing, water quality analysis, soil testing services, pollution inspection, environmental assessment, hazardous waste testing",,,,,
1395,Professional,,7120.78,Materials Fire Resistance Testing Services,,N/A,Low,,,,"Includes firms which conduct physical, chemical and other analytical testing of all types of materials and products used in constructing buildings to examine their fire resistivity, the tested material involve  cladding and insulation materials, partitions, bricks, paints, electric fixtures…etc.",-,"fire resistance testing, materials testing services, fire safety evaluation, fire resistivity assessment, building material analysis, fire testing laboratory, flame resistance testing, fire performance testing",,,,,
1396,Professional,,7120.79,Products & Materials Transportation Equipment Inspection,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,,-,"equipment inspection, transportation equipment check, machinery inspection, vehicle inspection service, transport equipment assessment, safety inspection for transport, compliance check for equipment, transport machinery evaluation",,,,,
1397,Professional,,7120.8,Halal Quality & Conformity Certification Services,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,,-,"halal certification, halal quality assurance, conformity assessment services, halal compliance, certification services for halal products, halal consulting, halal standards certification, halal conformity certification",,,,,
1398,Professional,,7120.81,Modified Vehicles’ Conformity Certificate Issuing Services,,N/A,Low,,,,"  Includes firms authorized by Ministry of Industry & Advanced Technology to undertake issuing the conformity certificates for the modified vehicles according the standards of quality and standardization approved by the authorizer, on both local and international level, the approval of the competent licensing authorities of said conformity certificates is solely subject to their prevailing traffic regulations and legislations.",-,"modified vehicle certification, conformity certificate services, vehicle compliance certificate, modified vehicles approval, vehicle modification certification, conformity assessment for vehicles, vehicle standards certification, vehicle modification compliance",,,,,
1399,Professional,,7120.82,Buildings & Civil Works Inspection Engineering Services,Dubai Municipality (DM),PRE,Low,,,,,-,"bulding, civil, engineering, inspection, civil work",,,,,
1400,Professional,,7120.83,Soil Analysis Services,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes firms specialized in conducting site soil examination and testing in terms of engineering, geological, hydraulic and geophysical aspects and working out the studies necessary for determining soil features, nature and suitability for construction  or agricultural projects. These services also include collecting soil samples for analysis at specialized laboratories to determine chemical and physical composition thereof.",-,"soil testing, soil analysis, soil examination, geotechnical services, soil sample collection, agricultural soil testing, construction soil analysis, soil quality assessment",,,,,
1401,Professional,,7120.84,Chemical & Biological Laboratory,Emirates International Accreditation Centre (EIAC) | Dubai Police (DP),PRE,Low,,,,"Includes firms which mainly conduct chemical and biological analysis, measurement and weight verification of various materials, metals or elements, such as analysis of building materials, soil metals and chemical materials or foodstuffs, to determine the chemical composition thereof. This also includes laboratory tests of materials and elements to determine mechanical characteristics such as solidity, cohesion, or resistance etc. The establishment's activity are restricted to offering said servi",-,"chemical laboratory, biological analysis, materials testing, soil analysis, chemical composition testing, laboratory services, weight verification, mechanical properties testing",,,,,
1402,Professional,,7120.85,Weighing & Measuring Laboratory,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes laboratories specialized in examining the metrology used in laboratories, factories and trade and services firms, to ensure their intactness and accuracy. These firms use internationally-recognized methodologies and metrology and issue certificates on the results.",-,"weighing laboratory, measuring laboratory, metrology services, calibration services, accuracy testing, measurement certification, weight and measure testing, laboratory metrology",,,,,
1403,Professional,,7120.86,Security Systems Inspection Services,,N/A,Low,,,,,-,"security system inspection, security audit services, security assessment, surveillance system check, security evaluation, alarm system inspection, security compliance review, safety and security inspection",,,,,
1404,Professional,,7120.87,Pipelines Testing Services,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,,-,"pipeline testing services, pipeline inspection, leak detection services, pressure testing, integrity testing, pipeline assessment, flow testing, non-destructive testing",,,,,
1405,Professional,,7120.88,Vehicles Technical Testing,Road and Transport Authority (RTA),PRE,Low,,,,Includes firms engaged in testing vehicles to determine validity prior to renewing registration by licensing authorities.,-,"vehicle testing, technical vehicle inspection, car assessment, vehicle validity check, automotive testing services, pre-registration vehicle inspection, car certification, vehicle compliance testing",,,,,
1406,Professional,,7120.89,Gold & Precious Metals Testing Laboratory,Emirates International Accreditation Centre (EIAC) | Dubai Police (DP),PRE,Low,,,,"Includes firms which undertake chemical and physical testing of bars of gold and precious metals, their ores or alloys to determine the content of gold or precious stones, solidity, fineness etc.",-,"gold testing, precious metals analysis, assay laboratory, metal content testing, gold assay services, precious metal testing, gold purity testing, metallurgical testing",,,,,
1407,Professional,,7120.9,Industrial Installations Inspection Engineering Services,Dubai Municipality (DM),PRE,Low,,,,,-,"industrial inspection services, installation engineering, engineering inspection, industrial engineering services, equipment installation audit, facility inspection, engineering assessment, industrial quality control",,,,,
1408,Professional,,7120.91,Physical & Mechanical Testing Laboratory,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes laboratories which mainly conduct mechanical, physical, electrical and light examinations and measurements. They also undertake measurement of heat and heat conductivity, hertz etc. and giving reports or certificate on the same.",-,"physical testing lab, mechanical testing services, material testing laboratory, quality assurance testing, engineering testing services, certification laboratory, mechanical properties testing, physical and mechanical analysis",,,,,
1409,Professional,,7120.92,Fire Causes Inspection,,N/A,Low,,,,"Includes firms which have the expertise and basic skills that enable investigating the causes as requested by official authorities or insurance companies, it involves  identifying and  examining the scene where the fire began, conducting preliminary investigation procedures, the ability to reveal the  indicators that caused the fire, to reveal the 
violations to safety regulations.
",-,"fire investigation, fire cause analysis, arson investigation, fire scene examination, fire safety inspection, insurance fire report, fire risk assessment, fire origin investigation",,,,,
1410,Professional,,7120.93,Foundation & Piling Testing Services,Dubai Municipality (DM),PRE,Low,,,,,-,"foundation testing, piling testing, soil testing services, geotechnical testing, structural integrity assessment, ground investigation, foundation inspection, load testing services",,,,,
1411,Professional,,7120.95,Trade Mark Verification Services,,N/A,Low,,,,,-,"trademark verification, trademark search, trademark registration services, brand protection, intellectual property verification, trademark analysis, trademark clearance, trademark consultancy",,,,,
1412,Professional,,7120.96,Nondestructive Testing Services,,N/A,Low,,,,"Includes conducting tests, without causing damage,  on materials  during welding, manufacturing or lifetime to detect the defects in order to prevent further defects, such test is applied on airframes, underground pipes, laboratory pipes, structures, gas tanks, methods used are, liquid penetrant testing, radiography, ultrasonic, electromagnetic waves and infrared rays testing.",-,"nondestructive testing, NDT services, material testing, defect detection, structural testing, ultrasonic testing, radiographic testing, liquid penetrant testing",,,,,
1413,Professional,,7120.97,Compliance Certification For Building Construction Products,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,"Includes firms serve as representatives for international organizations and authorities, which issue compliance certificates for materials and products used in Building Construction in accordance to international standards, it also includes inspection, supervision and control of certified factories, which manufacture these products.",-,"compliance certification, building product certification, construction material compliance, inspection services, certification agency, product safety certification, building standards compliance, construction product certification",,,,,
1414,Professional,,7120.98,Quality & Standardization Certificates Issuing Services.,Emirates International Accreditation Centre (EIAC),PRE,Low,,,,,-,"quality certification, standardization services, certification issuing, quality assurance certificates, compliance certification, obtain quality certificate, certification services, standards compliance",,,,,
1415,Professional,721,7210,Research And Experimental Development On Natural Sciences And Engineering,,N/A,Low,,,,,-,"scientific research, experimental development, natural sciences research, engineering research, R&D services, research and development, innovation services, technology development",,,,,
1416,Professional,,7210.01,"Research And Experimental Development On Natural Science, Engineering, Technology, Medical Sciences, Biotechnology, Agricultural Sciences, and Interdisciplinary Research And Development, Predominantly On Natural Sciences And Engineering.",,N/A,Low,,,,,-,"research and development, R&D services, scientific research, technology development, experimental research, medical research, biotechnology services, agricultural research",,,,,
1417,Professional,,7210.92,Environmental Consultants & Studies,,N/A,Low,,,,,-,"environmental consulting, environmental study, sustainability consulting, eco-friendly advisory, environmental impact assessment, environmental expert, green consultancy, ecological analysis",,,,,
1418,Professional,,7210.93,Pharmaceutical Researches & Studies,,N/A,Low,,,,,-,"pharmaceutical research, drug studies, clinical research, pharmaceutical studies, medication research, drug development, health research, medical research",,,,,
1419,Professional,,7210.94,Geophysical & Geological Studies & Services,,N/A,Low,,,,"Includes conducting geophysical and geological surveying by acoustic waves to determine the potential of oil, gas and minerals in deep ground layers.",-,"geophysical studies, geological surveys, subsurface exploration, oil and gas surveying, mineral exploration services, seismic analysis, geological consulting, earth sciences services",,,,,
1420,Professional,,7210.95,Renewable Energy Engineering Consultancy,Dubai Municipality (DM),PRE,Low,,,,"Includes conducting engineering consultancy and services regarding utilizing renewable energy specially winds, tidal waves, solar energy, hydrogen, as a clean alternative to traditional energy, it involves technical and economic feasibility studies, identify alternatives as well as preparing architectural designs and supervise execution, the minimal qualifications required is bachelor degree in renewable energy, electrical or mechanical engineering, along with three years hands-on experience.",-,"renewable energy consultancy, energy engineering services, solar energy consulting, wind energy advisor, sustainable energy solutions, clean energy consultancy, feasibility studies for renewable energy, alternative energy engineering",,,,,
1421,Professional,,7210.96,Technological Aspects Of Aircrafts Development,Dubai Civil Aviation Authority (DCAA),PRE,Low,,,,,-,"aircraft development, aviation technology, aerospace engineering, aircraft design services, aerospace development consulting, aircraft systems engineering, aircraft technology solutions, aviation innovation",,,,,
1422,Professional,,7210.98,Science & Technology Consultancy,,N/A,Low,,,,"Includes offering counseling and drawing plans on science and technology as regarding water desalination techniques, nanotechnology, health, power technology, also, studying and analyzing the reports submitted by laboratories and other analysis entities in respond to requests by governmental and private bodies.",-,"science consultancy, technology consulting, tech advisor, scientific advice, research consultancy, water desalination consulting, nanotechnology advisor, health technology consultancy",,,,,
1423,Professional,,7210.99,Veterinary Research Center,Dubai Municipality (DM),PRE,Low,,,,"Includes firms centers engaged in veterinary research to aid in the diagnosis, prevention, control and eradication of infectious and non-infectious animal diseases occurring in various animal species whether being pets, farm animals or wild animals, as well as assisting manufacturers to produce vaccines, antibiotics and anti-parasitic drugs to help prevent animals diseases.",-,"veterinary research, animal health research, pet disease prevention, veterinary diagnostics, animal disease control, vaccine development for animals, veterinary studies, animal science research",,,,,
1424,Professional,722,7220,Research And Experimental Development On Social Sciences And Humanities,,N/A,Low,,,,,-,"social science research, humanities research, social research development, academic research services, experimental development in humanities, social sciences consulting, research projects in social sciences, qualitative research services",,,,,
1425,Professional,,7220.01,Research And Development On Social Sciences,,N/A,Low,,,,,-,"social sciences research, R&D social sciences, social research development, social sciences consulting, behavioral research, social science studies, market research, academic research services",,,,,
1426,Professional,,7220.02,Research And Development On Humanities,,N/A,Low,,,,,-,"humanities research, R&D in humanities, humanities development, social science research, cultural studies research, academic research services, humanities consultancy, research projects in humanities",,,,,
1427,Professional,,7220.03,"Interdisciplinary Research And Development, Predominantly On Social Sciences And Humanities",,N/A,Low,,,,,-,"interdisciplinary research, social sciences research, humanities research, R&D in social sciences, social research development, academic research services, social sciences consultancy, interdisciplinary studies",,,,,
1428,Professional,,7220.95,Artificial Intelligence Developing,,N/A,Low,,,,,-,"artificial intelligence development, AI development, machine learning services, AI software development, AI solutions, artificial intelligence consulting, AI technology services, custom AI applications",,,,,
1429,Professional,,7220.97,Educational Technologies Research & Development,,N/A,Low,,,,"Includes centers or institutes specialized in elaborating studies and experimental and development researches on learning technologies to set guidelines to enhance designing, evaluating and implementing learning techniques to reach the utmost efficiency, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.",-,"educational technology research, learning technologies development, EdTech R&D, educational research services, learning tool innovation, technology in education, instructional design research, educational software development",,,,,
1430,Professional,,7220.98,Award Rendering Program,,N/A,Low,,,,"Includes forums, centers or firms specialized in encouraging studies and research in the various scientific fields, social, human and applied sciences and practicing the activities which serve such purpose such as organizing competitions, granting awards to researches and publishing of the winning studies and researches etc.",-,"award programs, research competitions, academic awards, grant funding for research, science awards, research recognition, awards for innovation, scholarly competitions",,,,,
1431,Professional,,7220.99,Islamic Economics Researches & Studies,,N/A,Low,,,,,-,"Islamic economics research, Islamic finance studies, Shariah-compliant economics, economic research consultancy, Islamic economic analysis, financial studies in Islam, Islamic economic policy research, Islamic finance consulting",,,,,
1432,Professional,731,7310,Advertising,,N/A,Low,,,"Any marketing related activity is generally included within this group, like Digital marketing etc. In this activity the client is providing marketing services to other clients, they do not need this activity to market their own company products. This activity does not include managing leads and generating leads or managing the results of marketing campaigns this is done on a separate activity called (Marketing Management)","This class includes the provision of a full range of advertising services (i.e. through inhouse capabilities or subcontracting), including advice, creative services, production of 
advertising material, media planning and buying.",-,"advertising services, ad agency, media planning, creative advertising, marketing strategies, promotional services, advertising consultancy, advertisement production",,,,,
1433,Professional,,7310.01,Creation And Realization Of Advertising Campaigns,,N/A,Low,,,,,-,"advertising campaigns, ad campaign creation, marketing strategy, promotional campaigns, creative advertising, brand promotion, digital marketing campaigns, advertisement design",,,,,
1434,Professional,,7310.02,Conducting Marketing Campaigns And Other Advertising Services Aimed At Attracting And Retaining Customers,,N/A,Low,,,,,-,"marketing campaigns, advertising services, customer attraction, customer retention strategies, promotional activities, brand promotion, marketing consultancy, advertising solutions",,,,,
1435,Professional,,7310.11,Digital Marketing,,N/A,Low,,,,,-,"digital marketing, online marketing, digital advertising, SEO services, social media marketing, internet marketing, content marketing, PPC management",,,,,
1436,Professional,,7310.12,Public Relations Consultancy,,N/A,Low,,,,,-,"public relations consultancy, PR agency, public relations services, media relations, reputation management, brand communication, crisis management, press release services",,,,,
1437,Professional,,7310.13,Publications Of Brochures & Leaflets,,N/A,Low,,,,,-,"brochure printing, leaflet printing, pamphlet design, marketing materials, promotional leaflets, advertising brochures, print advertising, custom brochures",,,,,
1438,Professional,,7310.14,Online Marketing Services,,N/A,Low,,,,,-,"online marketing, digital marketing services, internet marketing, SEO services, social media marketing, online advertising, web promotion, search engine marketing",,,,,
1439,Professional,,7310.15,Direct Marketing,,N/A,Low,,,,,-,"direct marketing, marketing services, promotional marketing, targeted advertising, marketing strategy, customer outreach, lead generation, direct mail services",,,,,
1440,Professional,,7310.16,Social Media Services,,N/A,Low,,,,,-,"social media, marketing, online marketing, digital marketing",,,,,
1441,Professional,,7310.17,Sales Promotion,,N/A,Low,,,,,-,"sales promotion, promotional marketing, advertising promotion, marketing campaign, sales strategy, brand promotion, customer engagement, promotional activities",,,,,
1442,Professional,,7310.18,Online Advertising,,N/A,Low,,,,,-,"advertising, online advertising, social media, marketing, ad",,,,,
1443,Professional,,7310.19,Publicity,,N/A,Low,,,,,-,"publicity, public relations, PR services, brand promotion, media outreach, advertising campaigns, reputation management, marketing communication",,,,,
1444,Professional,,7310.2,Digital Media Management,,N/A,Low,,,,,-,"digital media management, social media management, online branding, digital marketing services, content creation, social media strategy, brand management, digital content strategy",,,,,
1445,Professional,,7310.21,Social Media Consultancy,,N/A,Low,,,,,-,"social media, consultancy, digital, online",,,,,
1446,Professional,,7310.86,Marketing for Products and Services via Telephone,,N/A,Low,,,,"Includes all organizations that operate in the field of marketing products and services using telephone communication (telemarketing) with targeted groups (consumers). These organisations may use telemarketing for their own products or for marketing products of other companies by signing telemarketing contracts with companies. The contractual agreements will cover details of the products or services being marketed and the targeted consumer groups, including setting up processes and guidelines to",-,"telemarketing, phone marketing, tele sales, telephone advertising, call center marketing, outbound marketing, marketing by phone, telesales",,,,,
1447,Professional,,7310.87,Advertising Agency,,N/A,Low,,,,"Includes firms introduce the products and services of the clients to the public through creating and placing advertising in different media, including published magazines, newspapers, periodicals, outdoor advertising in   billboards, panels and car and bus carding, radio and television advertising, the Internet and mobile phones. ",-,"advertising, advertising agency, ad agency",,,,,
1448,Professional,,7310.88,Aerial Advertising Services,Dubai Civil Aviation Authority (DCAA),PRE,Low,,,,"Includes artworks, picturesc , multiple word messages designed on banners flown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic . Airplanes must meet the safety requirements set by the concerned authorities . No firm can practise this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department.",-,"aerial advertising, sky banners, airplane advertising, banner towing, aerial billboards, skywriting, airborne marketing, aerial promotions",,,,,
1449,Professional,,7310.89,Promotional Gifts Preparing,,N/A,Low,,,,"Includes creative designing and creating promotional gifts used by commercial entities to promote themselves and products, such gifts include pens, diaries, commemorative and sport medals, sport trophies, tyres covers, names engraving…etc",-,"promotional gifts, custom merchandise, branded giveaways, corporate gifts, promotional items, gift design services, personalized gifts, marketing merchandise",,,,,
1450,Professional,,7310.9,Distribution Of Advertising Materials & Samples,,N/A,Low,,,,"Includes distributing promotional materials such as pamphlets, catalogs, posters and gifts, besides distributing samples of the products which a company produces and is bidding to promote.",-,"advertising distribution, promotional materials delivery, sample distribution, marketing collateral, advertising samples, brochure distribution, promotional item delivery, flyer distribution",,,,,
1451,Professional,,7310.91,Advertisement Designing & Producing,,N/A,Low,,,,"Includes firms engaged in designing, creating commercial advertising to display in a printed medium such as a newspaper, magazine, periodicals, and  also placing in radio, television, the Internet and other media",-,"advertisement design, ad production, commercial advertising, marketing design, promotional materials, advertising agency, media design, creative advertising",,,,,
1452,Professional,,7310.92,Billboards Advertising,,N/A,Low,,,,"Includes creating and placing advertisements in the outdoor advertising structure found in high-traffic areas such as alongside busy roads and on roof and inside buildings, aimed at attracting passing pedestrians and drivers.",-,"billboard advertising, outdoor advertising, advertising billboards, billboard placement, large format advertising, display advertising, roadside advertising, advertising campaigns",,,,,
1453,Professional,,7310.93,Newspaper Advertisements,,N/A,Low,,,,"Includes creating and placing advertisements in different published newspapers, magazines, periodicals.",-,"newspaper advertising, print advertisements, magazine ads, ad placement, newspaper marketing, publication advertising, periodical ads, media buying",,,,,
1454,Professional,,7310.94,Advertising Researches & Consultancies,,N/A,Low,,,,"Includes providing consultations to advertising organizations as regarding the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employ different methodologies of research that works to improve the effectiveness and efficiency of advertising.",-,"advertising consultancy, ad research services, marketing research, advertising strategy, consumer behavior analysis, campaign effectiveness consulting, advertising effectiveness, advertising agency consultancy",,,,,
1455,Professional,,7310.95,Natural Gas Technology Marketing,,N/A,Low,,,,Includes firms conduct operations and activities to explore the demand on natural gas technology in order to assist the firms involved in such technology to how to meet such demands. ,-,"natural gas marketing, gas technology sales, energy consulting, natural gas consultancy, gas market analysis, natural gas demand assessment, gas technology promotion, energy sector marketing",,,,,
1456,Professional,,7310.96,Sports Events Marketing,Dubai Sports Council (DSC),PRE,Low,,,,"Includes firms engaged in marketing and promoting championships and festivals on behalf of the sport and cultural authorities and clubs, as well as finding official sponsors for such events, including the follow-up all the contracting subsequent formalities.",-,"sports marketing, event promotion, sports events management, sponsorship acquisition, sports promotion, marketing for sports events, event planning for sports, sports sponsorship",,,,,
1457,Professional,,7310.97,Foreign Securities Promotion,,N/A,Low,,,,"Includes firms conducting a series of coordinated campaigns designed to promoteforeign securities, through present information to investors in different areas of media on the advantages and benefits of investments in such securities.",-,"foreign securities promotion, investment promotion, securities marketing, foreign investment advertising, promote foreign stocks, investment campaigns, investor outreach, global securities marketing",,,,,
1458,Professional,,7310.98,Securities & Financial Products Promotion,,N/A,Low,,,,"Include firms engaged in marketing or selling of securities within the Uae, including the provision or display information or advertising or communicate with targeted investors or encouraging them to invest in the stocks. ",-,"securities promotion, financial products marketing, investment advertising, stock promotion, investor communication, financial advisory services, promote stocks, securities sales",,,,,
1459,Professional,,7310.99,Advertising Services Via Websites,,N/A,Low,,,,,-,"advertising, online advertising, social media, marketing, ad",,,,,
1460,Professional,732,7320,Market Research And Public Opinion Polling,Dubai Data and Statistics Establishment (DDSE),N/A,Low,,,,,-,"market research, opinion polling, consumer insights, survey research, public opinion surveys, market analysis, data collection, focus groups",,,,,
1461,Professional,,7320.01,"Investigation Into Market Potential, Acceptance And Familiarity Of Products And Buying Habits Of Consumers For The Purpose Of Sales Promotion And Development Of New Products, Including Statistical Analyses Of The Results",,N/A,Low,,,,,-,"market research, consumer behavior analysis, product acceptance study, sales promotion consulting, buying habits investigation, market potential assessment, statistical analysis services, consumer insights consultancy",,,,,
1462,Professional,,7320.02,"Investigation Into Collective Opinions Of The Public About Political, Economic And Social Issues And Statistical Analysis Thereof",Dubai Data and Statistics Establishment (DDSE),PRE,Low,,,,,-,"public opinion research, social opinion polling, political survey analysis, economic sentiment analysis, public sentiment investigation, statistical opinion analysis, community feedback study, public perception research",,,,,
1463,Professional,,7320.11,Specialty Communication & Pr,,N/A,Low,,,,,-,"specialty communication, public relations, PR services, media relations, communication strategy, brand communication, crisis communication, corporate communications",,,,,
1464,Professional,,7320.12,Media Representation,,N/A,Low,,,,,-,"media representation, media agency, public relations, PR services, media buying, media consulting, brand representation, advertising agency",,,,,
1465,Professional,,7320.13,Media Monitoring,,N/A,Low,,,,,-,"media monitoring, media analysis, press monitoring, social media tracking, brand reputation management, news tracking, media intelligence, competitive analysis",,,,,
1466,Professional,,7320.14,Media Consultancy,,N/A,Low,,,,,-,"media consultancy, media advisory, media strategy, public relations consulting, communications consultancy, media planning, media management, media expert",,,,,
1467,Professional,,7320.15,Communication Consultancy,,N/A,Low,,,,,-,"communication consultancy, communication strategy, corporate communication, communication advisor, public relations consultancy, effective communication services, communication improvement, business communication expert",,,,,
1468,Professional,,7320.95,Marketing Research & Consultancies,,N/A,Low,,,,"Includes the provision of research and consultancies to businesses to achieve competitive advantage in the market place and come out with results that assist in marketing and sales boosting, it involves knowing the specifications of the product that the client firm is selling to the market, products of the rivals, advertising strategies required, price that the customer is willing to pay, customer expectation.",-,"marketing, research, consultancy,market research, survey",,,,,
